21:00:42 - 来自: main.py:1740 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>'}
21:00:42 -     来自: main.py:1554 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:00:42 -     来自: main.py:1554 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
21:00:42 -     来自: main.py:1555 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>'}
21:00:42 -     来自: main.py:1555 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
21:00:42 - 来自: main.py:1740 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
21:10:09 - 来自: main.py:1742 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>', 'result': 'False'}
21:10:09 - 来自: 未知调用者                                          | 调用函数            | __main__.run                             | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:10:09 -     来自: main.py:255 - run                              | 调用函数            | __main__.init_datas                      | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:10:09 -     来自: main.py:255 - run                              | 函数异常            | __main__.init_datas                      | 异常类型: KeyError | 异常信息: 'state' | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 304, in init_datas
    self.statement = data["state"]
KeyError: 'state'

21:10:09 - 来自: main.py:1742 - <module>                        | 函数返回            | __main__.auto_game                       | 返回值: None
21:10:09 -     来自: main.py:281 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:10:09 - 来自: main.py:1742 - <module>                        | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>', 'result': '1'}
21:10:09 -         来自: main.py:703 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:10:09 -     来自: main.py:1656 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>'}
21:10:09 -     来自: main.py:1656 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
21:10:09 - 来自: main.py:1742 - <module>                        | 函数返回            | __main__.init_interface                  | 返回值: None
21:10:09 - 来自: main.py:1742 - <module>                        | 调用函数            | __main__.write_threshold                 | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>', 'result': '1'}
21:10:09 - 来自: main.py:1742 - <module>                        | 函数返回            | __main__.write_threshold                 | 返回值: None
21:10:09 -             来自: main.py:383 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
21:10:10 -             来自: main.py:383 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: 
21:10:10 -         来自: main.py:703 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 
21:10:10 -         来自: main.py:718 - before_start                     | 调用函数            | __main__.detect_start_btn                | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:10:10 -             来自: main.py:656 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
21:10:10 -             来自: main.py:656 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:10 -             来自: main.py:659 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
21:10:10 -             来自: main.py:659 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:10 -             来自: main.py:662 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
21:10:11 -             来自: main.py:662 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: (249, 285)
21:10:12 -             来自: main.py:665 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
21:10:12 -             来自: main.py:665 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:12 -             来自: main.py:668 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
21:10:12 -             来自: main.py:668 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:12 -             来自: main.py:671 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
21:10:12 -             来自: main.py:671 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:12 -             来自: main.py:674 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
21:10:12 -             来自: main.py:674 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:12 -             来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
21:10:12 -             来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:12 -             来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
21:10:12 -             来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
