00:47:49 - 来自: main.py:1732 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x0000028597E3DF70>'}
00:47:49 -     来自: main.py:1546 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x0000028599822550>'}
00:47:49 -     来自: main.py:1546 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
00:47:49 -     来自: main.py:1547 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x0000028597E3DF70>'}
00:47:49 -     来自: main.py:1547 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
00:47:49 - 来自: main.py:1732 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
00:47:52 - 来自: main.py:1734 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x0000028597E3DF70>', 'result': 'False'}
00:47:52 - 来自: 未知调用者                                          | 调用函数            | __main__.run                             | 参数: {'self': '<__main__.Worker object at 0x0000028599822550>'}
00:47:52 -     来自: main.py:259 - run                              | 调用函数            | __main__.init_datas                      | 参数: {'self': '<__main__.Worker object at 0x0000028599822550>'}
00:47:52 - 来自: main.py:1734 - <module>                        | 函数返回            | __main__.auto_game                       | 返回值: None
00:47:52 - 来自: main.py:1734 - <module>                        | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x0000028597E3DF70>', 'result': '1'}
00:47:52 -     来自: main.py:1648 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x0000028597E3DF70>'}
00:47:52 -     来自: main.py:1648 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
00:47:52 - 来自: main.py:1734 - <module>                        | 函数返回            | __main__.init_interface                  | 返回值: None
00:47:52 - 来自: main.py:1734 - <module>                        | 调用函数            | __main__.write_threshold                 | 参数: {'self': '<__main__.MaYun object at 0x0000028597E3DF70>', 'result': '1'}
00:47:52 - 来自: main.py:1734 - <module>                        | 函数返回            | __main__.write_threshold                 | 返回值: None
00:47:52 -     来自: main.py:259 - run                              | 函数异常            | __main__.init_datas                      | 异常类型: KeyError | 异常信息: 'state' | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 308, in init_datas
    self.statement = data["state"]
KeyError: 'state'

00:47:52 -     来自: main.py:285 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x0000028599822550>'}
00:47:52 -         来自: main.py:693 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000028599822550>'}
00:47:52 -         来自: main.py:693 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 
00:47:53 -         来自: main.py:646 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
00:47:53 -         来自: main.py:646 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: (563, 513)
00:47:54 -         来自: main.py:649 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
00:47:54 -         来自: main.py:649 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:47:54 -         来自: main.py:652 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
00:47:54 -         来自: main.py:652 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:47:54 -         来自: main.py:655 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
00:47:55 -         来自: main.py:655 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:47:55 -         来自: main.py:658 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
00:47:55 -         来自: main.py:658 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:47:55 -         来自: main.py:661 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
00:47:55 -         来自: main.py:661 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
00:47:55 -         来自: main.py:664 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
